"generated_id","Loyaltyvirtue","Authorityvice","Loyaltyvice","Fairnessvice","Carevirtue","Authorityvirtue","Purityvice","Purityvirtue","Carevice","Fairnessvirtue","author","date.enter","date.exit","followers","guid","date","retweets","favorites","bioname","chamber","district_code","state_abbrev","dim1","dim2","log_likelihood","geo_mean_probability","number_of_votes","number_of_errors","C114","C115","affiliation","Party","partyd","retweets_T","favorites_T"
"416155","0.173621546004956","0.13059968798429","0.0909730557354195","0.0883864113646333","0.171647423111457","0.222807545300945","-0.0144071503272786","0.133585041298717","0.121533773977535","0.0641943401455378","repcuellar","2005-01-03","","20722","682712911140110336","2016-01-01 00:00:16","2","6","CUELLAR, Henry","House","28","TX","-0.226","0.626","-85.33657","0.79253","367","42","TRUE","TRUE","D","Democratic","1","1.09861228866811","1.94591014905531"
"416156","0.247058503472923","0.171792520550058","0.160123968290647","0.202002284719041","0.247530164420838","0.21250392469201","0.105922337616595","0.129111513070954","0.265288399888081","0.169209868257383","senangusking","2013-01-03","","189370","682712996657807360","2016-01-01 00:00:37","5","10","KING, Angus Stanley, Jr.","Senate","0","ME","-0.146","-0.252","-36.43408","0.80709","170","23","TRUE","TRUE","D","Democratic","1","1.79175946922806","2.39789527279837"
"416157","0.303849898515118","0.1710536901157","0.14645925540159","0.167483286252494","0.249185413152737","0.298191946317781","0.0845798453674718","0.171978407787268","0.174610377339446","0.263874876075216","repjudychu","2009-06-14","","46099","682719103438729216","2016-01-01 00:24:53","1","3","CHU, Judy","House","27","CA","-0.504","-0.314","-20.19335","0.9456","361","9","TRUE","TRUE","D","Democratic","1","0.693147180559945","1.38629436111989"
"416158","0.237708175644035","0.242199000607091","0.169393210811069","0.282163847371153","0.26638486142926","0.349295659406782","0.180582412477539","0.259244983742178","0.298896838751664","0.301804175152875","sentedcruz","2013-01-03","","1069215","682722876705775616","2016-01-01 00:39:52","179","320","CRUZ, Rafael Edward (Ted)","Senate","0","TX","0.879","-0.397","-6.8492","0.95958","166","2","TRUE","TRUE","R","Republican","0","5.19295685089021","5.77144112313002"
"416159","0.277461788968724","0.277391801583732","0.185772185047136","0.270158331808885","0.23628454920698","0.337996658853223","0.0993640251049448","0.20341176195534","0.287424636071169","0.35953748332424","sentedcruz","2013-01-03","","1069215","682723869862461440","2016-01-01 00:43:49","223","424","CRUZ, Rafael Edward (Ted)","Senate","0","TX","0.879","-0.397","-6.8492","0.95958","166","2","TRUE","TRUE","R","Republican","0","5.41164605185504","6.05208916892442"
"416160","0.342225741199709","0.173378148984497","0.209510939398497","0.233362259665866","0.328719567440308","0.288332400142565","0.0737834002005508","0.256300089602868","0.248410520564434","0.229184501830825","repbillshuster","2001-05-15","","19872","682726889161658368","2016-01-01 00:55:49","1","4","SHUSTER, William (Bill)","House","9","PA","0.376","0.323","-25.85657","0.92994","356","10","TRUE","TRUE","R","Republican","0","0.693147180559945","1.6094379124341"
"416161","0.22462544610557","0.153122447052601","0.09509542932114","0.179802831960486","0.271139511571856","0.277371776308759","0.0392300540758041","0.225844559872825","0.244907868334747","0.184437640251319","billcassidy","2009-01-03","","37516","682727175682940928","2016-01-01 00:56:57","1","8","CASSIDY, Bill","Senate","0","LA","0.453","-0.105","-3.69664","0.97836","169","1","TRUE","TRUE","R","Republican","0","0.693147180559945","2.19722457733622"
"416163","0.159029957416612","0.216161919443097","0.169300346430356","0.149162866131876","0.164301581865896","0.263906836494629","0.028201242947283","0.115917757092261","0.16787554003167","0.153842973775421","repjeffduncan","2011-01-03","","51038","682727558492876800","2016-01-01 00:58:29","4","13","DUNCAN, Jeff","House","3","SC","0.741","-0.208","-15.191","0.95823","356","4","TRUE","TRUE","R","Republican","0","1.6094379124341","2.63905732961526"
"416164","0.269987410127236","0.201787456854412","0.209444393780882","0.259952015639703","0.223339939346101","0.260171499539105","0.0430938261581214","0.203088365744074","0.246738624907416","0.2386811861627","lutherstrange","2017-02-09","2018-01-03","10172","682728215115255808","2016-01-01 01:01:05","0","2","STRANGE, Luther  Johnson, III","Senate","0","AL","0.659","0.254","-1.12873","0.98988","111","0","FALSE","TRUE","R","Republican","0","0","1.09861228866811"
"416165","0.245107088051864","0.160352649302692","0.137104976027857","0.187784110248744","0.235638089122304","0.290343773020995","0.0700799903174142","0.2526329589266","0.249558898699648","0.157247412672147","repdonyoung","1973-03-06","","15753","682728389124448256","2016-01-01 01:01:47","1","6","YOUNG, Donald Edwin","House","1","AK","0.278","0.006","-66.43042","0.82977","356","26","TRUE","TRUE","R","Republican","0","0.693147180559945","1.94591014905531"
"416166","0.235919286885851","0.167157335163654","0.137559276027426","0.176062680539252","0.222401582170893","0.241229229477152","0.129540699818496","0.17434653142316","0.239903218812876","0.229672164752766","repjasonsmith","2013-06-04","","22399","682729776675618816","2016-01-01 01:07:17","6","4","SMITH, Jason","House","8","MO","0.605","0.169","-21.02125","0.94374","363","12","TRUE","TRUE","R","Republican","0","1.94591014905531","1.6094379124341"
"416167","0.30118957801294","0.269119693632668","0.313720875136261","0.245311556454614","0.323157510233556","0.330851908563499","0.141456946689941","0.183239280926427","0.266691723041003","0.243558681937131","repjeffduncan","2011-01-03","","51038","682729912139132928","2016-01-01 01:07:50","2","12","DUNCAN, Jeff","House","3","SC","0.741","-0.208","-15.191","0.95823","356","4","TRUE","TRUE","R","Republican","0","1.09861228866811","2.56494935746154"
"416168","0.208308991009549","0.108643841269962","0.0898346927704304","0.182319296080359","0.190139177725838","0.245439711106968","0.122789841067621","0.192476357665834","0.17804461179084","0.238053826999979","reptomreed","2010-11-02","","14584","682732163922526208","2016-01-01 01:16:47","0","0","REED, Thomas W. II","House","23","NY","0.301","0.083","-28.61016","0.92381","361","16","TRUE","TRUE","R","Republican","0","0","0"
"416170","0.277550675407261","0.21516874286651","0.19235218174993","0.159493840263162","0.198561843026388","0.295295312436238","0.0881931069531701","0.163049879612855","0.199208619718149","0.15885840098529","repedroyce","1993-01-03","","26984","682736897685340160","2016-01-01 01:35:35","2","3","ROYCE, Edward Randall","House","39","CA","0.666","-0.367","-28.54256","0.92458","364","8","TRUE","TRUE","R","Republican","0","1.09861228866811","1.38629436111989"
"416171","0.216412921460192","0.207323259002714","0.183390499326236","0.223059913360728","0.300524037349812","0.315434814358471","0.156974250423986","0.232115414641165","0.256971593758143","0.248987215623901","repadams","2014-11-04","","9346","682741872821952512","2016-01-01 01:55:21","2","0","ADAMS, Alma","House","12","NC","-0.462","0.009","-19.62187","0.94794","367","9","TRUE","TRUE","D","Democratic","1","1.09861228866811","0"
"416172","0.195537904355467","0.151361591218733","0.125167118012012","0.155604613137903","0.124323444164106","0.216350673236855","0.0720780355458668","0.124264203316127","0.2679985391847","0.16892163286909","repjeffduncan","2011-01-03","","51038","682741978962984960","2016-01-01 01:55:47","1","4","DUNCAN, Jeff","House","3","SC","0.741","-0.208","-15.191","0.95823","356","4","TRUE","TRUE","R","Republican","0","0.693147180559945","1.6094379124341"
"416174","0.299949072577108","0.190234461179853","0.151549933454358","0.180307296886472","0.284076816027494","0.315839115475175","0.114750974162945","0.293070792818586","0.259805002217635","0.189102131760839","repbost","2015-01-03","","5526","682744806771130368","2016-01-01 02:07:01","0","4","BOST, Mike","House","12","IL","0.276","0.38","-26.53657","0.93006","366","18","TRUE","TRUE","R","Republican","0","0","1.6094379124341"
"416175","0.194849160857405","0.21367990771469","0.136380916483778","0.145203943301858","0.187366688063574","0.263089870146384","0.130613843834059","0.253868662379269","0.233052845992151","0.139063581197868","repesty","2013-01-03","","21453","682746782804250624","2016-01-01 02:14:52","1","3","ESTY, Elizabeth","House","5","CT","-0.305","-0.118","-30.57066","0.91987","366","12","TRUE","TRUE","D","Democratic","1","0.693147180559945","1.38629436111989"
"416176","0.290573286299252","0.204916827252429","0.164287039867118","0.238318669200447","0.30992052308925","0.315675425428807","0.106073495796166","0.268800170051826","0.335778428689162","0.24621056287064","royblunt","1997-01-03","","78174","682746847388041216","2016-01-01 02:15:07","6","14","BLUNT, Roy","Senate","0","MO","0.431","0.288","-1.5217","0.99098","168","0","TRUE","TRUE","R","Republican","0","1.94591014905531","2.70805020110221"
"416177","0.192381066413142","0.154275442284249","0.0923642693584279","0.107915903933514","0.197088048461856","0.269085290695531","0.00543611456916538","0.209218757101972","0.167779251021847","0.112750663320824","repkevinyoder","2011-01-03","","27038","682748550862749696","2016-01-01 02:21:54","2","7","YODER, Kevin","House","3","KS","0.563","0.002","-33.03465","0.91392","367","23","TRUE","TRUE","R","Republican","0","1.09861228866811","2.07944154167984"
"416178","0.263187291939703","0.176169409073994","0.149018950848217","0.227975248967768","0.27280354735317","0.264208698345152","0.0958224706100133","0.244560607348401","0.264877564109848","0.200230205904075","repmaloney","1993-01-03","","24755","682750967595532288","2016-01-01 02:31:30","2","4","MALONEY, Carolyn Bosher","House","12","NY","-0.384","-0.284","-33.14342","0.90891","347","14","TRUE","TRUE","D","Democratic","1","1.09861228866811","1.6094379124341"
"416179","0.266258345014958","0.170204766016522","0.182380191503917","0.205434366695922","0.285934740022565","0.278858513756299","0.101917157276832","0.235605534949638","0.225223211088897","0.184693423446386","repmaloney","1993-01-03","","24755","682751232692334592","2016-01-01 02:32:33","3","11","MALONEY, Carolyn Bosher","House","12","NY","-0.384","-0.284","-33.14342","0.90891","347","14","TRUE","TRUE","D","Democratic","1","1.38629436111989","2.484906649788"
"416180","0.405791565355883","0.325440002572908","0.296045660075365","0.321559357312673","0.492762435655399","0.307028556204856","0.180625133245215","0.250288503175984","0.370704605199335","0.284835376609983","senduckworth","2013-01-03","","294169","682752025562624000","2016-01-01 02:35:42","8","10","DUCKWORTH, Tammy","Senate","0","IL","-0.3","0.06","-37.16478","0.80259","169","16","TRUE","TRUE","D","Democratic","1","2.19722457733622","2.39789527279837"
"416181","0.317525081174443","0.295471565240466","0.187386383305597","0.292089292094664","0.381325259721442","0.34238326600667","0.217150059278834","0.254860519946852","0.353566688321555","0.400303465556512","senatorcantwell","1993-01-03","","216886","682758164270301184","2016-01-01 03:00:06","13","23","CANTWELL, Maria E.","Senate","0","WA","-0.287","-0.402","-10.80989","0.93768","168","1","TRUE","TRUE","D","Democratic","1","2.63905732961526","3.17805383034795"
"416182","0.290838542081231","0.188144047848186","0.199194746396488","0.217145133745521","0.268141729556199","0.303279241019684","0.116451257620141","0.259235457258023","0.277560089830288","0.199636800947489","call_me_dutch","2003-01-03","","13288","682770158952288256","2016-01-01 03:47:45","2","3","RUPPERSBERGER, C. A. (Dutch)","House","2","MD","-0.299","0.154","-41.13786","0.89341","365","20","TRUE","TRUE","D","Democratic","1","1.09861228866811","1.38629436111989"
"416183","0.251503687079853","0.32698664969528","0.273050713915223","0.296543511807289","0.24543957625475","0.357100589400006","0.212513424837643","0.285185784213586","0.397298652215959","0.284669932026577","danarohrabacher","1989-01-03","","36272","682773045136769024","2016-01-01 03:59:13","3","2","ROHRABACHER, Dana","House","48","CA","0.628","-0.401","-47.38991","0.87437","353","16","TRUE","TRUE","R","Republican","0","1.38629436111989","1.09861228866811"
