"text","label"
"You obviously need lessons in English. Go get some you ridiculous illiterate dunce.",1
"Deletion review for Bezgovo cvrtje
An editor has asked for a deletion review of Bezgovo cvrtje. Since you closed the deletion discussion for this page, speedy-deleted it, or otherwise were interested in the page, you might want to participate in the deletion review.",0
"Agree.  Thanks for the clarification.  Have removed the links from the article.  Please delete image.",0
"go fuck yourself in a corner",1
"Chavez sure isnt a hero. He's classic scum. And your dumb people fell for his shenanigans.",1
"Thank You! 

For correcting the singles certifications for T.I.; because I was just too lazy to go back and correct all that vandalism. So yeah thanks again hun )",0
"H-TOwn nigga i rep that nawf nigga.... get down or lay down nigga... hit me up nigga fuck that foo rick ross and khaled and mike jones cause they bitches nigga... get out weighted nigga",1
"Very nice! I suggest putting in a link, to the autobiographical section which, I presume, you've helped write. Taking care,",0
"Minority Breeder
Breeder is a significant person and you went and deleted the page started for him, nice job dipshit.",1
"What I consider a fact, I do so on a scientific basis. There's nothing to be gained nowadays by clinching on to the insane idea that the Apollo hoax was for real. It stands in the way of actual moon landings. For now, before we can actually attempt landing something on the moon we have to take the needless detour of explaining to all and sundry how Apollo was a tragic hoax. We could have maybe actually landed people on the moon in the late 80's or something had it not been for the persistent re-circulation of this chunky piece of baloney called the Apollo missions. I rest my case.",0
"Sucker 

You suck the di*k of chicken fuc*ers.",1
"Why did you delete my comment and call me stupid. When you do this, you are simply showing more proof of Wikipedia's anti-Jewish bias and hurting the image of the anti-Israel agenda.",1
"""

Too funny

corey suggests a famous people section from moline or historical signicance section, but that is just too funny.  These guys will probably tell you about some confederate hero or plantation owner or other backwood gomer.  """"What do you call a person from Moline who has all their teeth?  An obvious no-good no-account yankee LIAR who just rode in.""""  Hmmm... not a very funny joke, but then again, racism isn't funny either, and this page is completely racist.  Backward, ignorant, hillbilly, hee-haw, and racist.""",0
